HOT cruises
 Cru No   Tsn   Tcorr No      Tcorr   Slag
  243   2454        1      0.000858       -1.0
  244   1416        1     -0.000308       0.0
  244   2454        1      0.000689       -1.0
  245   1416        1     -0.000372       0.0
  245   2454        1      0.000606       -1.0
  246   1416        1     -0.000479       0.0
  246   2454        1      0.000470       -1.0
  247   1416        1     -0.000566       0.0
  247   2454        1      0.000359       -1.0
  248   1416        1     -0.000783       0.0
  248   2454        1      0.000082       -1.0
  249   1416        1      0.001012        0.0
  249   2454        1      0.000349        -2.0
  250   1416        1      0.000928        0.0
  250   2454        1      0.000233        -1.0
  251   1416        1      0.000814        0.0
  251   5519        1     -0.000107       -1.0
  252   1416        1      0.000654        0.0
  252   5519        1     -0.000086        -2.0
  253   1416        1      0.000506        0.0
  253   5519        1     -0.000066        -2.0
  254   1416        1      0.000209        0.0
  254   5519        1     -0.000027        -1.0
  255   1416        1      0.000133        0.0
  255   5519        1     -0.000017        -1.0
  256   1416        1      0.000034        0.0
  256   5519        1     -0.000004        -1.0
  257   1416        1     -0.000080        0.0
  257   5519        1      0.000010        -2.0
  258   1416        1     -0.000171        0.0
  258   5519        1      0.000022        -2.0
  259   1416        1      0.000406       1.0
  259   5519        1      0.001058       -1.0
  260   1416        1      0.000290       0.0
  260   5519        1      0.000970       -2.0 
  261   1416        1      0.000217       0.0
  261   5519        1      0.000915       -2.0  
  262   1416        1      0.000077       0.0
  262   5519        1      0.000810       -2.0  
  263   1416        1     -0.000120       0.0
  263   5519        1      0.000661       -1.0  
  264   1416        1     -0.000236       0.0
  264   5519        1      0.000573       -1.0  
  265   1416        1     -0.000530       0.0
  265   5519        1      0.000351       -2.0  
  266   1416        1     -0.000642       0.0
  266   5519        1      0.000266       -2.0  
  267   1416        1     -0.000793       0.0
  267   5519        1      0.000152       -2.0  
  268   1416        1     -0.000890       1.0
  268   5519        1      0.000079       -1.0  
  269   1416        1      0.000673       0.0
  269   4448        1      0.000055       -1.0  
  270   1416        1      0.000554       0.0
  270   5519        1      0.000557       -1.0  
  270   5554        1     -0.001511       0.0
  270   5443        1     -0.000767       0.0  
  271   1416        1      0.000465       0.0
  271   5519        1      0.000510       -1.0  
  272   1416        1      0.000346       1.0
  272   5519        1      0.000446       -2.0  
  273   1416        1      0.000245        1.0
  273   5519        1      0.000393       -2.0  
  274   1416        1      0.000134        1.0
  274   5519        1      0.000334       -1.0  
  275   1416        1      0.000045        1.0
  275   5519        1      0.000286       -2.0  
  276   1416        1     -0.000123        0.0
  276   5519        1      0.000197       -2.0  
  277   1416        1     -0.000186        0.0
  277   5519        1      0.000164       -2.0  
  278   1416        1     -0.000301        0.0
  278   5519        1      0.000103       -2.0  
  279   1416        1     -0.000394        1.0
  279   5519        1      0.000053       -1.0  
  280   1416        1     -0.000519        0.0
  280   5519        1      0.000086       -1.0  
  281   1416        1     -0.000621        0.0
  281   5519        1      0.000051       -1.0  
  282   1416        1     -0.000724        0.0
  282   5519        1      0.000016       -1.0  
  283   1416        1     -0.000861        0.0
  283   5519        1     -0.000030       -2.0  
  284   1416        1     -0.001022        0.0
